Date,PRULX,VUSTX,WHOSX
2018-05-28,0.979707792207792,0.9789739276703111,0.9770043505282784
2018-05-21,1.039662447257384,1.0402449693788276,1.0523217789404842
2018-05-14,0.9883236030025019,0.9887543252595153,0.9839124839124838
2018-05-07,0.9983347210657784,0.9965517241379309,0.9987146529562981
2018-04-30,0.9983374896093101,0.9991386735572785,0.9955214331413951
2018-04-23,1.0050125313283207,1.0051948051948054,1.0109961190168175
2018-04-16,0.9803439803439803,0.9788135593220338,0.9772439949431101
2018-04-09,0.9959216965742252,0.9966216216216217,0.9981072555205048
2018-04-02,0.9959382615759544,0.9957947855340624,0.990625
2018-03-26,1.018196856906534,1.017979452054795,1.0178117048346056
2018-03-19,1.0016570008285004,1.0017152658662092,1.0019120458891015
2018-03-12,1.0058333333333334,1.0060396893874028,1.012911555842479
2018-03-05,1.0041841004184102,1.004332755632582,1.0045395590142672
2018-02-26,0.9999999999999998,1.000867302688638,1.0019493177387913
2018-02-19,0.9991638795986622,0.9991334488734838,0.9993506493506497
2018-02-12,0.9974979149291076,0.9974070872947275,0.9961190168175938
2018-02-05,0.9811783960720131,0.9805084745762711,0.9847133757961785
2018-01-29,0.9862792574656981,0.985797827903091,0.9727385980631102
2018-01-22,0.996781979082864,0.9958402662229616,0.9975277503090235
2018-01-15,0.9849445324881142,0.9844389844389844,0.9806060606060606
2018-01-08,0.9952681388012619,0.995110024449878,0.9969789122041639
2018-01-01,0.9999999999999999,0.9999999999999999,1.0
2017-12-25,1.002371541501976,1.0024509803921566,0.9963875980501143
2017-12-18,0.9867394695787833,0.9863013698630135,0.9857567359050444
2017-12-11,1.0047021943573669,1.004858299595142,1.0059701492537318
2017-12-04,0.9976544175136824,0.9975767366720516,1.0
2017-11-27,1.0015661707126078,1.0016181229773464,1.0011954572624029
2017-11-20,1.0015686274509805,1.0008097165991905,1.005408714267351
2017-11-13,1.0143198090692123,1.0147904683648317,1.0183597919216643
2017-11-06,0.9866562009419152,0.986223662884927,0.9843373493975903
2017-10-30,1.0143312101910829,1.0139687756778966,1.0196559570235897
2017-10-23,1.0007968127490041,1.0016460905349793,1.0018462153846155
2017-10-16,0.987411487018096,0.9870024370430542,0.9854457246816253
2017-10-09,1.0135566188197769,1.0140032948929159,1.0185298938523846
2017-10-02,0.9968203497615261,0.9967159277504106,0.9926426727555291
2017-09-25,0.9805144193296961,0.9806763285024154,0.9731502983293555
2017-09-18,1.0062745098039212,1.005668016194332,1.0108564535585043
2017-09-11,0.9899068322981366,0.9895833333333334,0.9863177267291924
2017-09-04,0.9900076863950809,0.9904761904761906,0.9888234705882352
2017-08-28,1.0124513618677042,1.0128617363344048,1.0149253731343282
2017-08-21,1.002340093603744,1.001610305958132,1.0029939519165296
2017-08-14,1.0078616352201257,1.0081168831168832,1.0090635655023303
2017-08-07,1.0047393364928912,1.0048939641109298,1.0091462804878053
2017-07-31,1.009569377990431,1.0098846787479407,1.015479876160991
2017-07-24,0.9905213270142181,0.9902120717781404,0.9847560975609756
2017-07-17,1.0111821086261983,1.0115511551155116,1.0148514851485146
2017-07-10,1.0064308681672025,1.0058091286307054,1.007481233947554
2017-07-03,0.9888712241653418,0.990139687756779,0.986469926199262
2017-06-26,0.9714285714285716,0.970494417862839,0.9592919788028332
2017-06-19,1.0148902821316614,1.0153846153846153,1.021699879445449
2017-06-12,1.0135027799841143,1.0122950819672132,1.0202952029520296
2017-06-05,0.9952569169960473,0.9959183673469387,0.9938874698112794
2017-05-29,1.0071656050955418,1.0074013157894737,1.0117502164502163
2017-05-22,1.0048000000000001,1.0049586776859503,1.0068493777614809
2017-05-15,1.017915309446254,1.0176619007569385,1.0216284351145033
2017-05-08,1.0024489795918368,1.0033755274261607,1.0025510204081634
2017-05-01,0.9959349593495935,0.9949622166246852,0.9999999999999999
2017-04-24,0.9871589085072231,0.9875621890547263,0.9812265331664581
2017-04-17,0.9983974358974358,0.9983443708609273,0.9981261711430354
2017-04-10,1.0138099106417546,1.0134228187919465,1.0165079365079368
2017-04-03,0.9959546925566344,0.9966555183946488,1.0000000000000002
2017-03-27,1.0032467532467528,1.0033557046979868,0.994318181818182
2017-03-20,1.0173410404624277,1.0179333902647312,1.0252427184466022
2017-03-13,1.021079258010118,1.0218150087260036,1.0238568588469186
2017-03-06,0.9809760132340779,0.9803250641573997,0.9792342634652823
2017-02-27,0.9813311688311689,0.9815281276238456,0.9753164556962024
2017-02-20,1.0098360655737706,1.009322033898305,1.0115236875800258
2017-02-13,0.996732026143791,0.9974640743871512,0.9999999999999997
2017-02-06,1.0041017227235438,1.004244482173175,1.0038560411311053
2017-01-30,1.0057755775577557,1.0059777967549102,1.0058177117000644
2017-01-23,0.9845653939886271,0.9840336134453782,0.9803548795944236
2017-01-16,0.9887550200803216,0.9891936824605153,0.9862499999999998
2017-01-09,1.005654281098546,1.0050125313283207,1.009463722397476
2017-01-02,1.0164203612479474,1.016992353440952,1.01994851994852
2016-12-26,1.0158465387823186,1.0155306298533213,0.9344558589570572
2016-12-19,0.9958471760797346,0.9731318219983208,0.996404913337033
2016-12-12,1.0041701417848203,1.0042158516020236,1.0158247717589777
2016-12-05,0.9653784219001611,0.9850498338870433,0.9710401891252953
2016-11-28,0.9849325931800157,0.9844644317252654,0.9854397204426323
2016-11-21,1.0031821797931582,1.0032813781788352,1.0076290488480606
2016-11-14,0.9976190476190476,0.9975450081833058,0.9947461759921878
2016-11-07,0.9326424870466321,0.9321128909229598,0.9145754938601174
2016-10-31,0.9970479704797047,0.996958174904943,0.9968067590842598
