Date,BIV,HYG,IEF,IEI,IGIB,IPE,ITE,TIP
2018-05-28,0.9885847552647018,1.0019953756571143,0.986116504854369,0.9902961101434851,0.9914018878504675,0.9924201768633822,0.9891506360688036,0.9922748803336473
2018-05-21,1.0159620771676747,0.9962581850885703,1.0216226939099382,1.0132784437898719,1.0096244193385766,1.0116852291400402,1.0151437099441798,1.0109515348123599
2018-05-14,0.9967682410230545,0.997317749271137,0.9963434925122345,0.9985732964560828,0.9986807576577316,0.9965429584523829,0.998282116445321,0.9965113248366462
2018-05-07,0.9987584606297283,1.0029239766081872,0.9960626634929686,0.9979899665328315,0.9999058136230247,0.9969163432447606,0.9974297121756387,0.9970567071782901
2018-04-30,0.9977703456792888,0.9976663126370939,0.9989183775492148,0.9989960257445454,0.9977436871722538,0.994946778559827,0.99931505139332,0.9956487168488706
2018-04-23,1.0011161210455866,1.0004668806693027,1.002266640363983,1.0016761397921554,1.0000940391124484,1.002714477115978,1.0012000685341995,1.0023142234501863
2018-04-16,0.9912722923484277,0.9912058086370242,0.9896615818751737,0.994250462557279,0.9951347491604556,0.9949585344804008,0.9955624167946747,0.994159773574732
2018-04-09,0.9964478074038193,1.0096974183758576,0.9960170682724487,0.9965952831190049,0.9985052130044842,1.000720738738739,0.9976162097735399,1.001417846724286
2018-04-02,1.0003675774982532,1.0074152190138328,0.9982544511756853,0.999087355837446,1.0005608150846586,1.0009016952046585,0.9993193806363788,0.9998227607028594
2018-03-26,1.0044307815384614,0.9940329707027848,1.0068346515687299,1.0029122898984855,1.0022485104412313,1.0012639941989165,1.0022169338713667,1.0043602599491082
2018-03-19,0.9990163285622442,1.0002341018221452,1.0014667155998838,1.0008327614784684,0.9987835314160469,1.0028975008529972,1.000853370882403,1.002318890412445
2018-03-12,1.0002460214056335,0.9944140230420109,1.0010766738027927,1.0,0.9997193638967379,0.9994570316742082,1.0,1.0002677045327044
2018-03-05,1.0008616445313054,1.002099125364432,1.00215815181169,1.000833463889812,0.9990654392523363,0.999819073464317,1.0006831938630774,0.9999107760911825
2018-02-26,0.995466205177476,0.9908712619497193,0.9969682347188265,0.9980036766095184,0.9961828136604483,1.0003619840564089,0.9984652114335815,1.0005354962465594
2018-02-19,1.0022104998157926,1.0045269760991997,1.0034347202466198,1.002000316669437,1.0010251630559117,1.0036337390328176,1.0020505639097745,1.0029540954521001
2018-02-12,0.9976721025114397,1.0072489536682916,0.9971621489937925,0.9974229113191212,0.9980467119701101,1.0003635223555072,0.9974433610855076,1.0011650564408485
2018-02-05,0.9931857264541248,0.9975507463856016,0.9915583541928655,0.9963554875418995,0.9948181919126492,0.9877917237380301,0.9962642043855362,0.9892721075514488
2018-01-29,0.9938323619825283,0.9804459798895131,0.9956525553926661,0.9990897632932724,0.9961286938174705,0.9978502508061625,0.9996604820913257,0.9972590892530343
2018-01-22,0.9992749486404832,0.9980597352867016,0.9976867662650604,0.9985951078655465,1.0008302213868963,1.0000000000000002,0.9986438040805627,0.9996464468768467
2018-01-15,0.9937552897954349,1.0010282646067434,0.9916841619666176,0.9956393039687402,0.9959574235927019,0.995896538731428,0.9967894896924638,0.9962137800475477
2018-01-08,0.9972454730538923,0.995790637183376,0.9954329685144235,0.9977015350517158,0.9986237085718634,0.9982190027348531,0.998481525223553,0.9979788840603105
2018-01-01,0.9992819770053131,1.0064117932865486,0.9988595039074369,0.9986064595230176,0.9994497386721781,1.0001781795542959,0.9988203572632289,1.0
2017-12-25,1.0004789391934483,1.0024101802735055,1.0013323086918098,1.0011489536503726,1.000458752293578,1.0042933272166965,1.0001685150794366,1.0045904308314835
2017-12-18,0.992867261310012,0.998052623205523,0.9924443235486681,0.99542516149252,0.9964347746594753,0.9907834807083828,0.9958039612016123,0.9963936758484706
2017-12-11,1.0009519514403622,0.9991988096875766,1.0003779384118645,1.0001634528978138,1.001189804115142,1.0008869789052153,1.000503828723826,1.0007922887463432
2017-12-04,0.9997621103916752,1.0002290211844078,0.9996222043716152,0.9996732745242178,0.9998170204944551,0.9987597448398253,0.9994964249917281,0.9995600176056308
2017-11-27,0.9954997158811055,0.9971461186563042,0.9955806205092733,0.996013683631853,0.9964438770209515,0.9962929745351111,0.9964877237583588,0.9958815195614741
2017-11-20,1.0039234454414048,1.0012572865757752,1.0032072068067692,1.0017113438327059,1.002834656181419,1.0015912482038323,1.0020111111785188,1.001491935098515
2017-11-13,1.0017865888731134,1.0050545087287361,1.0021743524501263,0.9998370080704714,1.0009152297105028,1.002659120723276,0.9998324061662202,1.0021987687475489
2017-11-06,0.9931393187468732,0.9893170244190711,0.993239427230047,0.9961851135434687,0.9949007648879985,0.9961151157316772,0.9968264739740516,0.996145067427239
2017-10-30,0.9995270631466763,0.9947993327800789,1.002541626587359,0.9997565041039556,0.998272866134481,1.0021235711245295,0.9991655707331631,1.0034285626373627
2017-10-23,1.0010652621864191,0.9984196974114324,1.000847974381458,1.0009747542768683,1.0006367109216534,1.002661408753346,1.0006679525606557,1.0029095574485907
2017-10-16,0.996696956353555,1.0023760919566447,0.9949381233595798,0.9976499108970842,0.9985468119627032,0.9964639321700153,0.9983327942647551,0.9960480812492819
2017-10-09,1.0034326940068885,0.9996605927084905,1.0041415851683284,1.000811021878077,1.0009090727272727,1.003548615976781,1.001335525831869,1.0039675983771401
2017-10-02,0.9995268102056366,1.0006791850747978,0.9999999999999999,1.0001622647644568,1.0009098998924493,1.00159944908477,0.9991659883375149,1.0003528047368004
