Date,Stock_increments,Stocks 2_Week_Avg,Stocks 3_Week_Avg,Stocks 6_Week_Avg,Stocks 9_Week_Avg,Stocks 12_Week_Avg,Stocks 15_Week_Avg,Itb_increments,ITB 2_Week_Avg,ITB 3_Week_Avg,ITB 6_Week_Avg,ITB 9_Week_Avg,ITB 12_Week_Avg,ITB 15_Week_Avg,Ltb_increments,LTB 2_Week_Avg,LTB 3_Week_Avg,LTB 6_Week_Avg,LTB 9_Week_Avg,LTB 12_Week_Avg,LTB 15_Week_Avg,Gold_increments,Gold 2_Week_Avg,Gold 3_Week_Avg,Gold 6_Week_Avg,Gold 9_Week_Avg,Gold 12_Week_Avg,Gold 15_Week_Avg,Commodity_increments,Commod 2_Week_Avg,Commod 3_Week_Avg,Commod 6_Week_Avg,Commod 9_Week_Avg,Commod 12_Week_Avg,Commod 15_Week_Avg,VIGRX,VIGRX 2_Week_Avg,VIGRX 3_Week_Avg,VIGRX 6_Week_Avg,VIGRX 9_Week_Avg,VIGRX 12_Week_Avg,VIGRX 15_Week_Avg
2008-07-19,1.0370840262990575,0.9393210051410831,0.9130076083943646,0.8826810111411747,0.8809239476903158,0.8962964407735323,0.9077001141896537,0.9922193706117672,1.0051103232344076,1.0122580464137887,1.0015208081806886,0.9906184131327456,0.9907144145969001,0.9879557901056679,0.9767972421713876,1.0052658578277076,1.019076103454154,1.012073426836424,0.9979138813740832,0.9979505212212781,0.9984131609143383,0.9752444465546706,1.0089469443495003,1.068336384188724,1.0730847634729412,1.0832408817911514,1.0829413654360713,1.1341379357130095,0.9531497553756045,1.0318846256452099,1.0525702986961347,1.151898064658471,1.1466150553850913,1.1893817724963398,1.2934135772335194,1.0222451068530156,0.9502310619662586,0.9271214425392392,0.9109211505289183,0.9187462435611967,0.9386610002531267,0.9696829005532781
2008-07-12,0.9634467945101222,0.9476471493774556,0.92473567414217,0.9166644617648906,0.905555981276821,0.9678535168450866,0.9193136064334577,1.0005908652825883,1.011660291469786,1.011647070692602,0.9929520629330097,0.9961409900954789,0.9835754413744677,0.9943701447793335,0.9987392391396995,1.0203625366036209,1.0311865706865633,1.007735272599473,1.0160548588571363,0.9873651212357335,0.9957602503272238,1.0752988042721285,0.993525129893437,1.001678184195491,0.9933154253730979,1.0241453443212125,1.009416799329406,1.0388879252360406,1.0377699867923624,1.0142616495872254,1.0231123323354334,1.106590044051878,1.1225967766707263,1.1552048942129889,1.2347192237159617,0.9783766127204464,0.9476120243321348,0.9275879044891935,0.9377020039113195,0.9358656375425235,1.0058600706965466,0.9719039511528096
2008-07-05,0.9749588773282429,0.9484868496980061,0.9499153295216801,0.9218649897929607,0.9401921980056657,0.9658699695481293,0.9565533107644097,1.004516789137929,1.007098220389917,1.000320043063341,0.978735670395124,0.9900476179536859,0.981586799381073,0.9852540783653909,1.0065348575806734,1.0244916635725294,1.0125224221840627,0.9853916214432056,1.0056623800151623,0.9878572095966673,0.9870069558480405,0.9382944911135265,1.0675520251714827,1.0625627729829226,1.0190349184435616,1.1353324584235074,1.0648162146537963,1.0055890677355437,0.99432883854606,1.0289476606466141,1.0585025211414176,1.1100045649752661,1.1541812784428493,1.1873251160592846,1.1732792686509164,0.9712323962079111,0.9550627719080174,0.9598187643994366,0.9512999807442698,0.9754218291765046,1.0158530606059009,1.0090333222053778
2008-06-28,0.9719867898165799,0.977292427709779,0.9667838504582422,0.9648593720259661,0.981696573536533,0.9941868017791827,0.9519124018092423,1.0071113817201478,0.9932566161200492,0.9893927854946278,0.9786224141584179,0.9787172530826377,0.9759920344479177,0.9841624885960627,1.0137379037782992,0.9988009902858459,0.9931284066086972,0.9792339139262106,0.9792698679114632,0.9797238474439948,1.0044248961435789,1.0588627976642655,1.0034942915426046,1.0044446481038116,1.0139511279621405,1.0136707702400665,1.0615925400446358,0.957969234133815,1.0200464979677264,1.0377002648901874,1.094366871348525,1.0893477203427215,1.1299784669676505,1.2288144353262942,1.1022445689293474,0.97568,0.9837434039843356,0.9825262460051071,0.9909664488450357,1.0124466517377513,1.0459071013366594,1.0009133018583665
2008-06-21,0.9758227782879555,0.9907371215031773,0.9912718708675682,0.9792592700793762,1.046627208086154,0.9941366296766458,0.937103096328562,0.9999869316041209,0.9894057154402022,0.9815202274575922,0.9846724405710902,0.9722515587388436,0.9829219829585029,0.9912397779353451,1.010608027729998,0.9827038568449104,0.9772579485092826,0.9853259223310559,0.9575038594406314,0.9656450914253546,1.0020897861715112,1.0082061883054014,0.9962690764595363,0.9916512519146958,1.0224295192609854,1.0077256500700678,1.0371474008595238,0.9137000438331985,1.0087262322811967,1.0848997838329781,1.0815919318711489,1.0972370688839248,1.129108561887854,1.2068266452203729,1.1310823814502733,0.9788688626476072,1.0037363363950587,1.0109036560019566,1.0089239337999867,1.0843824782843152,1.0477755762544358,0.9834668361716217
2008-06-14,1.0015060618121683,0.9897811992010493,0.9704706947482953,0.9897642124367965,1.016795854883701,1.0069879714922298,0.9022183260482997,0.9932695965603517,0.9881710170698398,0.9784225330504047,0.9897308614569021,0.9812727498442398,0.9849388555168679,1.0102908319072905,0.9883168972339624,0.9888103211068929,0.9732047408072854,0.9932247997490238,0.9756398356747583,0.9748000974823016,1.0476923272798262,0.995326455225675,0.9963075398110001,0.9590350277215476,1.0684850695797474,1.0021207609829468,0.9463808570222755,0.9538253917831099,1.0287233856736995,1.051392382960971,1.0486555703035192,1.090390674930333,1.1217026812358968,1.1084331356960129,1.111810075891826,1.0049797695306641,1.0058945330551867,0.9911245914633715,1.0162562614483064,1.0583800799534533,1.0512748444095428,0.9484251048749357
2008-06-07,0.9892472539911489,0.9810193466121852,0.9980094015519975,1.015425085008632,1.028344444632533,0.9846176075014588,0.9280463173884013,0.9961099371877182,0.9822435220481288,0.9891141602262387,0.9892100159122819,0.9864555803891265,0.9947136294348958,1.0162220477865223,0.9943206066750842,0.9787635238312035,0.9860093693926921,0.9860455721485627,0.9865026928285378,1.011374651515061,1.0525185774798063,1.0009470473018298,0.9581276355295107,1.0094644138691715,1.009185296724585,1.0568950136263933,0.9537302388362238,0.9881291969726824,1.0546078751019055,0.9943559071206336,0.9954136486244153,1.0325408202235173,1.1228541977080293,1.0071984064823851,1.0740352369373425,0.998762728192841,0.9923524011120342,1.0085903077645468,1.030452525674809,1.0645080531835716,1.0187140607469978,0.9665012397029343
2008-05-31,1.0005397489937387,0.9974710175739785,0.9878816285004854,1.0558427398632209,1.002889982953486,0.9453542704771827,0.9279311947841374,0.9920300763786253,0.9970606575124908,1.003211562049682,0.9905568235279706,1.0014281473388906,1.009902547299437,1.0120648282316127,0.9944582406004668,0.9915040462607326,1.0082557259668035,0.9797862078289726,0.9881168967705585,1.0254097065161836,1.0324033488399385,0.9953648821849906,1.0141651890040868,1.0310373907024897,1.01620972910016,1.045879182683411,0.9213925178524323,1.0306729794443648,0.9969510068937957,0.9984579400003113,1.0144649165288335,1.0439321232125887,1.1157873960215,1.0457570439652837,1.1375006218392727,1.007140639774624,1.0014393898256821,0.9980416311779902,1.072686276131359,1.0364742179272601,0.9728591150428268,0.9609156285130878
2008-05-24,0.9804901280521983,1.007538577122618,1.0198805773249084,1.047734733656662,1.037628417778659,0.9296708606768409,0.9486611017093184,0.9901348209459314,1.0132070308276377,1.0115577146115409,1.0029130735419074,1.0066600290225811,1.0325711007058789,1.0195083194645307,0.9842178221985604,1.0244233575394388,1.020571271493326,1.0025021403671475,1.0016392816517652,1.076538454190793,1.0411665328052868,0.9625893505769081,1.0711082457795307,1.114125176551923,1.044926130971213,0.9868053091560841,0.9945678355973976,1.1197344739687605,0.9973969635867588,1.0171124973959178,1.0397986772861314,1.0696578676554733,1.0570040031115189,1.0602242598778426,1.194850333157796,0.9853166101351056,1.0129146519118761,1.025356721245135,1.067857753777233,1.060688891653229,0.9569181443420842,0.9873318723379422
2008-05-17,1.017318776636246,1.0025181887403407,1.0174504202360732,1.0303955484120304,0.9865814950944214,0.9298973696492263,0.9453779954436244,1.0069948419347001,1.0045311778043216,1.0000969106397397,0.9973121607757549,1.0056610949815705,1.027406227360129,1.0119971925739677,1.0074030604789255,1.0130714423362384,1.0000367164420485,1.0005003232739558,1.025725193806213,1.0674529169312852,1.0305860138913903,1.0535803127224166,1.0574658268557244,0.9997234997680435,1.0469859056996624,0.9447883706773531,0.9788648152392878,1.0535405135369118,1.001063745381515,1.0386937715838007,1.037298234407785,1.1280277292357073,1.0118390559284127,1.0789838359375281,1.1879341030952144,1.016363044654617,1.0088488819401873,1.0216760142765182,1.0554414859914347,1.0100375275317584,0.9582694105450023,0.9862084392423579
