Date,DBC,DJP,GSG,GSP
2018-05-28,0.9915966946778709,0.9912871683168316,0.9874571842954857,0.9840803056651125
2018-05-21,0.9759430849675731,0.990584542958023,0.9663912396694213,0.9609064589235128
2018-05-14,1.0161111666666667,1.0087059754649783,1.013400335008375,1.015535156244831
2018-05-07,1.0180995475113122,1.010395841663335,1.0176136363636363,1.0223528823529413
2018-04-30,1.00683377032083,1.0008003201280513,1.010332950631458,1.0107015457788349
2018-04-23,1.005727377189426,1.0044212622355813,0.9988531537354843,0.9988123515439429
2018-04-16,1.0127609628770302,1.0032258065816857,1.0210773419203751,1.026829268292683
2018-04-09,1.017709503086806,1.013485901654512,1.0307785153892575,1.0333963453056079
2018-04-02,1.0113433432835823,1.0140903445540967,1.0115995733577274,1.0179602309172546
2018-03-26,0.9870360039502657,0.9938219936646622,0.9820143285371703,0.9755944931163955
2018-03-19,1.026618147210033,1.0104036616561107,1.0277264325323474,1.0343042071197412
2018-03-12,0.9933895428719679,0.98564405191321,1.0006165845016388,0.9987071751777632
2018-03-05,0.9946203825463239,0.9882447912444264,0.984223240291262,0.9847231063017186
2018-02-26,0.9870205907362484,0.993956486704271,0.9862358459746169,0.9831038798498123
2018-02-19,1.0198555944731893,1.015963978714695,1.0245248328954528,1.029639175257732
2018-02-12,1.0240296364756625,1.0204677936312532,1.027078022670025,1.0284956925115971
2018-02-05,0.9643493761140823,0.9755501232457162,0.9319248279386839,0.9508506616257087
2018-01-29,0.9784883152041673,0.9711120300751879,0.9999999999999999,0.9706422018348625
2018-01-22,1.016548522458629,1.021010101010101,1.0161002385211688,1.0237946149029429
2018-01-15,1.0017762582460783,1.007326007326007,1.0035907243321798,0.9999999999999999
2018-01-08,1.0113771250672379,1.0086206482503837,1.017041935483871,1.0217530390275111
2018-01-01,1.0005991611384564,0.9910496745321401,1.0036651799838006,1.0019230769230771
2017-12-25,1.0152068117270794,1.025448520043743,1.0148792321685824,1.0182767624020888
2017-12-18,1.033312445003143,1.029639088073922,1.0359665382145151,1.0478796169630646
2017-12-11,0.9943750000000001,1.0038809830150501,0.997437540038437,0.9932065217391299
2017-12-04,0.9937888198757759,0.9793074746621623,0.9974440894568688,0.9979661016949154
2017-11-27,0.9811090798293723,0.9850249174282479,0.9861373660995588,0.9820239680426099
2017-11-20,1.01358857235401,1.0096598912078913,1.0153550863723606,1.0210740992522092
2017-11-13,0.9902141284403668,0.9863297425985807,0.9892405063291138,0.9826319305277221
2017-11-06,0.9891106479666879,0.9869174156548413,0.9850373450724846,0.9868160843770603
2017-10-30,1.035065810895429,1.027731093602147,1.0395334413480235,1.0462068965517242
2017-10-23,1.0237179487179489,1.0063424524312896,1.0272969374167777,1.031294452347084
2017-10-16,0.998719590268886,0.9953703703703701,0.9947019867549667,0.9936395759717315
2017-10-09,1.0249343832020996,1.0263498920086394,1.0314207650273222,1.0366300366300367
2017-10-02,0.9980353634577603,1.0065217391304344,0.9938900203665987,0.9963503649635038
2017-09-25,0.9738520408163266,0.9762309412661692,0.9742063492063495,0.9681978798586571
2017-09-18,1.0234986945169713,1.0042625747767508,1.023004059539919,1.0305899490167516
2017-09-11,1.0112211221122112,1.0034217281189792,1.0186078566505858,1.021577380952381
2017-09-04,0.9999999999999999,0.9953171136653896,0.9965659340659339,0.9904200442151805
2017-08-28,1.0236486486486485,1.023083668252773,1.0282485875706218,1.0382555470543229
2017-08-21,1.0095497953615278,1.0070175441674358,1.0056818181818183,1.0046118370484245
2017-08-14,1.0006825938566555,0.999123531989483,0.9971671388101986,0.9984650805832694
2017-08-07,0.9865319865319865,0.9917427205562798,0.9785169785169786,0.974569932685116
2017-07-31,0.9873670212765958,0.9888268156424583,0.9876796714579056,0.9859882005899704
2017-07-24,1.0386740331491713,1.0260141093474426,1.0465616045845272,1.0577223088923555
2017-07-17,0.9999999999999999,0.9991188987172289,0.9971428571428569,0.9961149961149963
2017-07-10,1.0118798043326345,1.0053144818423383,1.015965166908563,1.0214285714285714
2017-07-03,0.9801369863013698,0.9899167465987175,0.9745403111739744,0.9699769053117784
2017-06-26,1.0541516245487363,1.0458505293833342,1.0583832335329344,1.071782178217822
2017-06-19,0.9871703492516039,0.9900135274619369,0.9852507374631267,0.9821717990275525
2017-06-12,0.9887244538407328,0.9887791746508449,0.9833212472806384,0.9762658227848102
2017-06-05,0.9895397489539749,0.991985841139174,0.9835948644793153,0.9790859798605732
2017-05-29,0.9722033898305085,0.9833624781085816,0.974287699791522,0.9655946148092746
2017-05-22,0.9723137771918259,0.9731572634493935,0.9709851551956816,0.9688405797101449
2017-05-15,1.0319727891156465,1.021767523803549,1.027027027027027,1.0344827586206897
2017-05-08,1.0208333333333333,1.0195294265632742,1.0285103349964364,1.034910783553142
2017-05-01,0.9710047201618341,0.9719586281276963,0.9702627939142462,0.9633781763826607
2017-04-24,0.9933020763563296,1.0078260869565216,1.0048644892286311,1.0007479431563204
2017-04-17,0.9619845360824744,0.9700548700993198,0.9529801324503312,0.9488999290276792
2017-04-10,0.9993560849967805,1.0016898605830162,0.9966996699669967,0.9957597173144874
2017-04-03,1.025082508250825,1.0145735105015004,1.032719836400818,1.0358711566617862
2017-03-27,1.0174613834788448,1.0060370415680449,1.0194579569145237,1.0262960180315552
2017-03-20,0.9939919893190922,0.9897567648314128,0.9890034364261168,0.985925925925926
2017-03-13,1.0060443250503692,1.0107851596203623,1.0048342541436464,1.007462686567164
2017-03-06,0.9544871794871794,0.9642262494082258,0.9457870672762901,0.9364081062194269
