Date,PREIX,FUSEX,SWPPX,VFINX,VIGRX
2018-05-28,1.0216940574121576,1.0216514644273884,1.021791188783103,1.0216815588346708,1.026080137673344
2018-05-21,0.9843580787958954,0.9844321594862832,0.9844413005394295,0.9844268695652174,0.9917700199175693
2018-05-14,1.0017713312681746,1.0017793384783404,1.001652892640042,1.0017421682114522,1.0005228205326673
2018-05-07,1.0222871984637525,1.0222555320164297,1.0224529223782193,1.0222617989335532,1.020813943461532
2018-04-30,1.0094206688939542,1.0096143350977635,1.0095052159274973,1.0095619360511527,1.0234875587810643
2018-04-23,0.9919108225346228,0.991750631744188,0.9917814839686122,0.9917730536980749,0.9959200869838173
2018-04-16,0.9972182893680587,0.9973287743275465,0.9973480954676952,0.997332347159252,0.9951278927477047
2018-04-09,1.0249465424106476,1.0249698614602973,1.02495673276608,1.0249813525358076,1.0259650385711623
2018-04-02,1.0127039849590291,1.007503045597585,1.0127628131322026,1.0126699277870872,1.0103815658022104
2018-03-26,0.9675932514369746,0.9712785225866152,0.9713174519036814,0.9713517338577435,0.9628528969722125
2018-03-19,0.980147796000167,0.9801470687021134,0.980223922320135,0.9758997889349746,0.9788443995310486
2018-03-12,0.9751668764975469,0.9752099372502578,0.9751394057820769,0.9751793335230717,0.9726079610954743
2018-03-05,1.0232241129736657,1.0232704502459027,1.0233000469971458,1.0232548945740922,1.0315734292215482
2018-02-26,0.9792641739130435,0.9793655485323667,0.9795063339428582,0.9793626768455194,0.9811270992808252
2018-02-19,1.0235519789614127,1.0235368923723211,1.0235994750035882,1.0235906954606888,1.0246732318749041
2018-02-12,1.0234024380128584,1.0234433815129231,1.0234203208870296,1.0234101462301555,1.0290969252114064
2018-02-05,1.003374549913897,1.0033448208890805,1.0031816200885553,1.0033496404818263,1.0027525046654275
2018-01-29,0.9285808423335077,0.9285642907236609,0.9286363863636363,0.928538875253819,0.9332134994449846
2018-01-22,1.0073654742518146,1.0073677430890644,1.0073260073260073,1.0073361378292218,1.0056833248691122
2018-01-15,1.020399905505304,1.0204965092387068,1.0205607715084293,1.020470230356493,1.023397170564516
2018-01-08,1.0108533850339627,1.0108276206925262,1.0108644071799713,1.0108387198059328,1.0088012270649749
2018-01-01,1.0193610985855652,1.0194226489129414,1.019503997580159,1.0194471066488446,1.0240337966393362
2017-12-25,1.0061220951945693,1.0060864814503687,1.006056201697098,1.0060635458391232,1.0093728459253128
2017-12-18,0.9965335553299963,0.9965946685474656,0.99662001432255,0.9920596888351793,0.9893631667976772
2017-12-11,1.006138434709821,1.006749571748428,0.9940004796736491,1.0116434579162754,1.0145268817726465
2017-12-04,1.008157552972083,1.0081002271562902,1.0079825350749878,1.008139079754601,1.0127503987914923
2017-11-27,1.015134165974669,1.0151298872396655,1.0152259082704833,1.0151968280218706,0.9947038745644601
2017-11-20,1.0077697985611511,1.007733918733092,1.0079207669346155,1.0077408718410632,1.0117033562240092
2017-11-13,0.999712356144089,0.9997791118941688,0.9995052943842305,0.9997072157592835,0.999577181095582
2017-11-06,0.9981334530327798,0.9981257110736179,0.9982710793642341,0.9981628308977037,1.0019771078089852
2017-10-30,1.0073763813621115,1.007441941657691,1.0074646182499283,1.007445438227324,1.0101283883060879
2017-10-23,1.003046554475555,1.0032315690490654,1.00324508229543,1.0031224565778631,1.0118360134502888
2017-10-16,1.0030558643327143,1.003017737755474,1.00300455691048,1.003047365250817,0.9945448610654688
2017-10-09,1.0052662374887913,1.0051679473055175,1.0052856531588221,1.0052331987603487,1.007521044366807
2017-10-02,1.0066263727506186,1.0019136200771552,1.0068423975378205,1.006724598420677,1.0096377916338586
2017-09-25,1.0084646277674267,1.0133454776627233,1.0130936582004195,1.0133246835067191,1.0154211294359095
2017-09-18,0.9970387178407059,0.997156505849784,0.9974392316885848,0.9922907619424545,0.9862533629534964
2017-09-11,1.0068574684896403,1.0068712551534587,1.0067027067104226,1.0068950388492186,0.9991232466650131
2017-09-04,1.0126812201896507,1.0126405770854492,1.0125293653738092,1.0125581844963953,1.0130255184436212
2017-08-28,1.0060753648891472,1.0060670167549528,1.0063042027843447,1.0061409276039512,1.014109801225917
2017-08-21,1.0067277367973166,1.0068131330957288,1.006876461071768,1.0068054396955872,1.007714445504244
2017-08-14,0.9853849486793004,0.9853008683958133,0.9854053162732688,0.9853611634754355,0.986569154258494
2017-08-07,0.9946051253736644,0.9947041331486975,0.9945566876849824,0.9946379746049869,0.9952472896109525
2017-07-31,1.0046673443139824,1.0046264400257512,1.0046874997558592,1.0046863698633295,1.004325790508267
2017-07-24,1.0003011445692425,1.0003470901307416,1.0002605626533099,1.0002629107216092,0.993626797189465
2017-07-17,1.0045386385639528,1.0045327637780943,1.0047108088121122,1.004577035452086,1.0109380135132757
2017-07-10,1.0131820972771948,1.0131889192931918,1.0129904026248564,1.0131989925354274,1.017688258075991
2017-07-03,0.9998467126436781,0.9951950780453512,1.0000000000000002,0.9999108079182751,1.005674022476216
2017-06-26,0.991641292174409,0.9962638646523326,0.996302165971945,0.9962243771104614,0.985045346754321
2017-06-19,0.9942581293442128,0.9941961696065892,0.9942226631185577,0.9899740602440689,0.9960878422522995
2017-06-12,1.0103816793893128,1.0104386579770428,1.0106157643312104,1.010441686754125,1.0126466865448738
2017-06-05,0.997411329295305,0.9975430092717561,0.9973531232756253,0.9975179637779887,0.9844007644937983
2017-05-29,1.0099969398645157,1.0099256059290656,1.009890376904571,1.0098920861216227,1.0129139775144336
2017-05-22,1.0082183131716023,1.008340247825569,1.0086276624427066,1.0083499098063724,1.0119926043666572
