Date,Open,High,Low,Close,Adj Close,Volume
1980-01-02,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-03,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-04,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-07,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-08,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-09,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-10,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-11,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-14,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-15,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-16,8.540000,8.540000,8.540000,8.540000,1.444197,0
1980-01-17,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-18,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-21,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-22,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-23,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-24,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-25,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-28,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-29,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-30,10.530000,10.530000,10.530000,10.530000,1.808897,0
1980-01-31,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-01,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-04,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-05,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-06,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-07,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-08,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-11,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-12,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-13,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-14,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-15,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-19,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-20,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-21,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-22,10.020000,10.020000,10.020000,10.020000,1.721286,0
1980-02-25,10.020000,10.020000,10.020000,10.020000,1.721286,0
