Date,Open,High,Low,Close,Adj Close,Volume
1983-07-19,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-07-20,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-07-21,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-07-22,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-07-25,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-07-26,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-07-27,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-07-28,9.980000,9.980000,9.980000,9.980000,3.582635,0
1983-07-29,9.940000,9.940000,9.940000,9.940000,3.568275,0
1983-08-01,9.910000,9.910000,9.910000,9.910000,3.557507,0
1983-08-02,9.880000,9.880000,9.880000,9.880000,3.546737,0
1983-08-03,9.930000,9.930000,9.930000,9.930000,3.564686,0
1983-08-04,9.900000,9.900000,9.900000,9.900000,3.553916,0
1983-08-05,9.860000,9.860000,9.860000,9.860000,3.539558,0
1983-08-08,9.760000,9.760000,9.760000,9.760000,3.503659,0
1983-08-09,9.770000,9.770000,9.770000,9.770000,3.507250,0
1983-08-10,9.760000,9.760000,9.760000,9.760000,3.503659,0
1983-08-11,9.760000,9.760000,9.760000,9.760000,3.503659,0
1983-08-12,9.860000,9.860000,9.860000,9.860000,3.539558,0
1983-08-15,9.890000,9.890000,9.890000,9.890000,3.550328,0
1983-08-16,9.940000,9.940000,9.940000,9.940000,3.568275,0
1983-08-17,9.940000,9.940000,9.940000,9.940000,3.568275,0
1983-08-18,9.920000,9.920000,9.920000,9.920000,3.561097,0
1983-08-19,9.920000,9.920000,9.920000,9.920000,3.561097,0
1983-08-22,9.960000,9.960000,9.960000,9.960000,3.575455,0
1983-08-23,9.980000,9.980000,9.980000,9.980000,3.582635,0
1983-08-24,9.930000,9.930000,9.930000,9.930000,3.564686,0
1983-08-25,9.920000,9.920000,9.920000,9.920000,3.561097,0
1983-08-26,9.930000,9.930000,9.930000,9.930000,3.564686,0
1983-08-29,9.930000,9.930000,9.930000,9.930000,3.564686,0
1983-08-30,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-08-31,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-09-01,9.960000,9.960000,9.960000,9.960000,3.575455,0
1983-09-02,9.920000,9.920000,9.920000,9.920000,3.561097,0
1983-09-06,10.000000,10.000000,10.000000,10.000000,3.589815,0
1983-09-07,10.030000,10.030000,10.030000,10.030000,3.600584,0
1983-09-08,10.030000,10.030000,10.030000,10.030000,3.600584,0
1983-09-09,10.030000,10.030000,10.030000,10.030000,3.600584,0
1983-09-12,10.030000,10.030000,10.030000,10.030000,3.600584,0
1983-09-13,9.880000,9.880000,9.880000,9.880000,3.546737,0
1983-09-14,9.890000,9.890000,9.890000,9.890000,3.550328,0
1983-09-15,9.800000,9.800000,9.800000,9.800000,3.518019,0
1983-09-16,9.700000,9.700000,9.700000,9.700000,3.482120,0
1983-09-19,9.730000,9.730000,9.730000,9.730000,3.492889,0
1983-09-20,9.770000,9.770000,9.770000,9.770000,3.507250,0
1983-09-21,9.730000,9.730000,9.730000,9.730000,3.492889,0
1983-09-22,9.650000,9.650000,9.650000,9.650000,3.464170,0
1983-09-23,9.670000,9.670000,9.670000,9.670000,3.471351,0
1983-09-26,9.680000,9.680000,9.680000,9.680000,3.474941,0
1983-09-27,9.610000,9.610000,9.610000,9.610000,3.449812,0
1983-09-28,9.550000,9.550000,9.550000,9.550000,3.428273,0
1983-09-29,9.480000,9.480000,9.480000,9.480000,3.403145,0
1983-09-30,9.380000,9.380000,9.380000,9.380000,3.367246,0
1983-10-03,9.160000,9.160000,9.160000,9.160000,3.288270,0
1983-10-04,9.070000,9.070000,9.070000,9.070000,3.255962,0
1983-10-05,9.130000,9.130000,9.130000,9.130000,3.277501,0
1983-10-06,9.190000,9.190000,9.190000,9.190000,3.299040,0
1983-10-07,9.290000,9.290000,9.290000,9.290000,3.334939,0
1983-10-10,9.420000,9.420000,9.420000,9.420000,3.381606,0
1983-10-11,9.370000,9.370000,9.370000,9.370000,3.363657,0
1983-10-12,9.290000,9.290000,9.290000,9.290000,3.334939,0
1983-10-13,9.260000,9.260000,9.260000,9.260000,3.324169,0
1983-10-14,9.270000,9.270000,9.270000,9.270000,3.327759,0
1983-10-17,9.230000,9.230000,9.230000,9.230000,3.313399,0
1983-10-18,9.220000,9.220000,9.220000,9.220000,3.309810,0
1983-10-19,9.140000,9.140000,9.140000,9.140000,3.281090,0
1983-10-20,9.130000,9.130000,9.130000,9.130000,3.277501,0
1983-10-21,9.100000,9.100000,9.100000,9.100000,3.266732,0
1983-10-24,9.150000,9.150000,9.150000,9.150000,3.284680,0
1983-10-25,9.140000,9.140000,9.140000,9.140000,3.281090,0
1983-10-26,9.090000,9.090000,9.090000,9.090000,3.263141,0
1983-10-27,9.040000,9.040000,9.040000,9.040000,3.245193,0
1983-10-28,9.040000,9.040000,9.040000,9.040000,3.245193,0
1983-10-31,9.000000,9.000000,9.000000,9.000000,3.230834,0
1983-11-01,8.940000,8.940000,8.940000,8.940000,3.209294,0
1983-11-02,9.000000,9.000000,9.000000,9.000000,3.230834,0
1983-11-03,9.000000,9.000000,9.000000,9.000000,3.230834,0
1983-11-04,9.010000,9.010000,9.010000,9.010000,3.234423,0
1983-11-07,8.980000,8.980000,8.980000,8.980000,3.223654,0
1983-11-08,9.020000,9.020000,9.020000,9.020000,3.238013,0
1983-11-09,9.050000,9.050000,9.050000,9.050000,3.248782,0
1983-11-10,9.070000,9.070000,9.070000,9.070000,3.255962,0
1983-11-11,9.090000,9.090000,9.090000,9.090000,3.263141,0
1983-11-14,9.100000,9.100000,9.100000,9.100000,3.266732,0
1983-11-15,9.100000,9.100000,9.100000,9.100000,3.266732,0
1983-11-16,9.070000,9.070000,9.070000,9.070000,3.255962,0
1983-11-17,9.040000,9.040000,9.040000,9.040000,3.245193,0
1983-11-18,9.050000,9.050000,9.050000,9.050000,3.248782,0
1983-11-21,9.040000,9.040000,9.040000,9.040000,3.245193,0
1983-11-22,9.040000,9.040000,9.040000,9.040000,3.245193,0
1983-11-23,9.040000,9.040000,9.040000,9.040000,3.245193,0
1983-11-25,9.100000,9.100000,9.100000,9.100000,3.266732,0
1983-11-28,9.230000,9.230000,9.230000,9.230000,3.313399,0
1983-11-29,9.270000,9.270000,9.270000,9.270000,3.327759,0
1983-11-30,9.590000,9.590000,9.590000,9.590000,3.442633,0
1983-12-01,9.360000,9.360000,9.360000,9.360000,3.360067,0
1983-12-02,9.360000,9.360000,9.360000,9.360000,3.360067,0
1983-12-05,9.360000,9.360000,9.360000,9.360000,3.360067,0
1983-12-06,9.350000,9.350000,9.350000,9.350000,3.356478,0
1983-12-07,9.370000,9.370000,9.370000,9.370000,3.363657,0
