Date,Open,High,Low,Close,Adj Close,Volume
1986-12-08,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-09,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-10,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-11,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-12,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-15,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-16,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-17,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-18,9.930000,9.930000,9.930000,9.930000,1.835872,0
1986-12-19,10.000000,10.000000,10.000000,10.000000,1.848814,0
1986-12-22,10.000000,10.000000,10.000000,10.000000,1.848814,0
1986-12-23,10.000000,10.000000,10.000000,10.000000,1.848814,0
1986-12-24,10.000000,10.000000,10.000000,10.000000,1.848814,0
1986-12-26,10.000000,10.000000,10.000000,10.000000,1.848814,0
1986-12-29,10.000000,10.000000,10.000000,10.000000,1.848814,0
1986-12-30,10.000000,10.000000,10.000000,10.000000,1.848814,0
1986-12-31,9.930000,9.930000,9.930000,9.930000,1.835872,0
1987-01-02,9.930000,9.930000,9.930000,9.930000,1.835872,0
1987-01-05,9.930000,9.930000,9.930000,9.930000,1.835872,0
1987-01-06,9.930000,9.930000,9.930000,9.930000,1.835872,0
1987-01-07,9.930000,9.930000,9.930000,9.930000,1.835872,0
1987-01-08,9.960000,9.960000,9.960000,9.960000,1.841418,0
1987-01-09,9.970000,9.970000,9.970000,9.970000,1.843267,0
1987-01-12,9.970000,9.970000,9.970000,9.970000,1.843267,0
1987-01-13,9.970000,9.970000,9.970000,9.970000,1.843267,0
1987-01-14,9.970000,9.970000,9.970000,9.970000,1.843267,0
1987-01-15,9.980000,9.980000,9.980000,9.980000,1.845115,0
1987-01-16,9.980000,9.980000,9.980000,9.980000,1.845115,0
1987-01-19,9.980000,9.980000,9.980000,9.980000,1.845115,0
1987-01-20,9.980000,9.980000,9.980000,9.980000,1.845115,0
1987-01-21,9.980000,9.980000,9.980000,9.980000,1.845115,0
1987-01-22,9.980000,9.980000,9.980000,9.980000,1.845115,0
1987-01-23,9.970000,9.970000,9.970000,9.970000,1.843267,0
1987-01-26,9.990000,9.990000,9.990000,9.990000,1.846964,0
1987-01-27,8.650000,8.650000,8.650000,8.650000,1.599223,0
1987-01-28,8.650000,8.650000,8.650000,8.650000,1.599223,0
1987-01-29,8.650000,8.650000,8.650000,8.650000,1.599223,0
1987-01-30,8.650000,8.650000,8.650000,8.650000,1.599223,0
1987-02-02,8.640000,8.640000,8.640000,8.640000,1.597375,0
1987-02-03,8.640000,8.640000,8.640000,8.640000,1.597375,0
1987-02-04,8.640000,8.640000,8.640000,8.640000,1.597375,0
1987-02-05,8.650000,8.650000,8.650000,8.650000,1.599223,0
1987-02-06,8.660000,8.660000,8.660000,8.660000,1.601073,0
1987-02-09,8.650000,8.650000,8.650000,8.650000,1.599223,0
1987-02-10,8.650000,8.650000,8.650000,8.650000,1.599223,0
1987-02-11,9.990000,9.990000,9.990000,9.990000,1.846964,0
1987-02-12,10.020000,10.020000,10.020000,10.020000,1.852510,0
1987-02-13,10.010000,10.010000,10.010000,10.010000,1.850662,0
1987-02-17,10.010000,10.010000,10.010000,10.010000,1.850662,0
1987-02-18,10.010000,10.010000,10.010000,10.010000,1.850662,0
1987-02-19,10.030000,10.030000,10.030000,10.030000,1.854359,0
1987-02-20,10.030000,10.030000,10.030000,10.030000,1.854359,0
1987-02-23,10.030000,10.030000,10.030000,10.030000,1.854359,0
1987-02-24,10.030000,10.030000,10.030000,10.030000,1.854359,0
1987-02-25,10.030000,10.030000,10.030000,10.030000,1.854359,0
1987-02-26,10.040000,10.040000,10.040000,10.040000,1.856208,0
1987-02-27,10.040000,10.040000,10.040000,10.040000,1.856208,0
1987-03-02,10.040000,10.040000,10.040000,10.040000,1.856208,0
1987-03-03,10.040000,10.040000,10.040000,10.040000,1.856208,0
1987-03-04,10.040000,10.040000,10.040000,10.040000,1.856208,0
1987-03-05,10.050000,10.050000,10.050000,10.050000,1.858057,0
1987-03-06,10.050000,10.050000,10.050000,10.050000,1.858057,0
1987-03-09,10.050000,10.050000,10.050000,10.050000,1.858057,0
1987-03-10,10.040000,10.040000,10.040000,10.040000,1.856208,0
1987-03-11,10.030000,10.030000,10.030000,10.030000,1.854359,0
1987-03-12,10.030000,10.030000,10.030000,10.030000,1.854359,0
1987-03-13,10.010000,10.010000,10.010000,10.010000,1.850662,0
1987-03-16,10.060000,10.060000,10.060000,10.060000,1.859906,0
1987-03-17,10.090000,10.090000,10.090000,10.090000,1.865452,0
1987-03-18,10.070000,10.070000,10.070000,10.070000,1.861755,0
1987-03-19,10.070000,10.070000,10.070000,10.070000,1.861755,0
1987-03-20,10.070000,10.070000,10.070000,10.070000,1.861755,0
1987-03-23,10.070000,10.070000,10.070000,10.070000,1.861755,0
1987-03-24,10.060000,10.060000,10.060000,10.060000,1.859906,0
1987-03-25,10.070000,10.070000,10.070000,10.070000,1.861755,0
